usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.173"",""0.421"",""0.635"",""0.941""]","[0,1,1,1]",0,2,2,2,1,0,1,,,0,FALSE,4.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.155"",""0.377"",""0.504"",""0.826""]","[0,1,1,1]",0,3,3,3,1,1,0,,,0,FALSE,4.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.323"",""0.560"",""0.683"",""0.904""]","[1,1,0,1]",0,4,4,4,1,0,0,,,0,FALSE,2.7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.755"",""0.222"",""0.469"",""0.721""]","[0,1,1,1]",0,5,5,5,1,1,1,,,0,FALSE,3.1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.685"",""0.560"",""0.863"",""0.904""]","[0,1,1,1]",0,6,6,6,1,0,0,,,0,FALSE,2.2508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,0,"[""0.121"",""0.038"",""0.504"",""0.826""]","[1,0,1,1]",0,7,7,7,1,1,0,,,0,FALSE,2.2686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.262"",""0.421"",""0.754"",""0.941""]","[1,1,0,1]",0,8,8,8,1,0,1,,,0,FALSE,1.9555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.262"",""0.421"",""0.635"",""0.671""]","[1,1,1,0]",0,9,9,9,1,0,1,,,0,FALSE,1.6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.080"",""0.173"",""0.469"",""0.721""]","[1,0,1,1]",0,10,10,10,1,1,1,,,0,FALSE,2.7174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6108139e89cc5e0bcc998019,627c6ec43fdc241f4fe27455,2022-05-11_21h24.00.835,classification_task,2021.2.3,Win32,59.88382538,627c6715c52fd12f31907bd0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.080"",""0.222"",""0.469"",""0.169""]","[1,1,1,0]",0,11,11,11,1,1,1,,,0,FALSE,2.9715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
