usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,key_resp_3.rt,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.200"",""0.641"",""0.894"",""0.944""]","[1,0,1,1]",0,15,15,15,1,0,1,,,0,FALSE,4.8926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.783"",""0.358"",""0.818"",""0.856""]","[0,1,1,1]",0,16,16,16,1,0,0,,,0,FALSE,2.3336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.648"",""0.424"",""0.521"",""0.688""]","[0,1,1,1]",0,17,17,17,1,1,1,,,0,FALSE,3.2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.106"",""0.781"",""0.521"",""0.688""]","[1,0,1,1]",0,18,18,18,1,1,1,,,0,FALSE,1.4956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.241"",""0.464"",""0.894"",""0.944""]","[0,1,1,1]",0,19,19,19,1,0,1,,,0,FALSE,3.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.069"",""0.154"",""0.584"",""0.651""]","[1,1,1,0]",0,20,20,20,1,1,0,,,0,FALSE,4.6881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.106"",""0.424"",""0.521"",""0.651""]","[1,1,1,0]",0,21,21,21,1,1,1,,,0,FALSE,1.8122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.289"",""0.358"",""0.781"",""0.856""]","[1,1,0,1]",0,22,22,22,1,0,0,,,0,FALSE,4.3767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.069"",""0.154"",""0.238"",""0.742""]","[1,1,0,1]",0,23,23,23,1,1,0,,,0,FALSE,2.9714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5f5b64c313f9ca2931cf9917,001,2022-04-29_03h13.05.366,classification_task,2021.2.3,Win32,238.0952381,5f5b64c313f9ca2931cf9917,626b377229c10585ec392f89,626b39f700b7e0b8d761c56d,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.200"",""0.633"",""0.894"",""0.944""]","[1,0,1,1]",0,24,24,24,1,0,1,,,0,FALSE,5.1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
