usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent,manualCondition
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,5.8835,"[""0.082"",""0.570"",""0.523"",""0.740""]","[1,0,1,1]",0,11,11,11,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,4.6206,"[""0.211"",""0.126"",""0.627"",""0.807""]","[0,1,1,1]",0,12,12,12,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,8.5362,"[""0.082"",""0.385"",""0.268"",""0.740""]","[1,1,0,1]",0,13,13,13,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,0,8.5543,"[""0.325"",""0.467"",""0.677"",""0.288""]","[1,1,1,0]",0,14,14,14,1,0,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,3.7216,"[""0.175"",""0.427"",""0.912"",""0.240""]","[1,1,1,0]",0,15,15,15,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,1.8191,"[""0.027"",""0.566"",""0.627"",""0.807""]","[1,0,1,1]",0,16,16,16,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,8.7316,"[""0.175"",""0.427"",""0.912"",""0.558""]","[1,1,1,0]",0,17,17,17,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,l,1,4.5523,"[""0.027"",""0.126"",""0.229"",""0.807""]","[1,1,0,1]",0,18,18,18,1,1,0,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,1,4.5572,"[""0.558"",""0.427"",""0.912"",""0.946""]","[0,1,1,1]",0,19,19,19,1,0,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60b642b9eb58b6d8a5080ea6,627c6e86d17d51c8d498794a,2022-05-11_21h24.12.778,classification_task,2021.2.3,MacIntel,59.99880002,627c6715c52fd12f31907bcf,,,,,,,,,,,,,,,,,,,,,,,a,0,5.2734,"[""0.288"",""0.385"",""0.523"",""0.740""]","[0,1,1,1]",0,20,20,20,1,1,1,,,1,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
