usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,key_resp.rt,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,key_resp_5.rt,globalClockTime,userAgent
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,1,1.3741,"[""0.806"",""0.329"",""0.497"",""0.771""]","[0,1,1,1]",0,11,11,11,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,a,1,1.173,"[""0.218"",""0.547"",""0.669"",""0.973""]","[1,1,0,1]",0,12,12,12,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,0,1.502,"[""0.218"",""0.639"",""0.935"",""0.973""]","[1,0,1,1]",0,13,13,13,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,1,1.1385,"[""0.079"",""0.329"",""0.635"",""0.771""]","[1,1,0,1]",0,14,14,14,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2835,"[""0.120"",""0.263"",""0.437"",""0.027""]","[1,1,1,0]",0,15,15,15,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,a,1,1.7592,"[""0.218"",""0.547"",""0.935"",""0.643""]","[1,1,1,0]",0,16,16,16,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,a,1,2.1758,"[""0.184"",""0.398"",""0.806"",""0.897""]","[1,1,0,1]",0,17,17,17,1,0,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,0,1.2414,"[""0.635"",""0.547"",""0.935"",""0.973""]","[0,1,1,1]",0,18,18,18,1,0,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,1,1.9197,"[""0.079"",""0.329"",""0.497"",""0.671""]","[1,1,1,0]",0,19,19,19,1,1,1,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,613a9833c9a297f3ac00743f,001,2022-04-28_20h38.45.243,classification_task,2021.2.3,MacIntel,59.93407252,613a9833c9a297f3ac00743f,626b377229c10585ec392f8a,626b3b477fd5610a2c41f186,,,,,,,,,,,,,,,,,,,,,,,l,1,1.2748,"[""0.120"",""0.263"",""0.044"",""0.708""]","[1,1,0,1]",0,20,20,20,1,1,0,,,0,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
