usingWebGL,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,signatures_friend,signatures_foe,band_ranges_top,band_ranges_bottom,formitemText,formtype,formundefined,formitemWidth,formindex,formresponse,formrt,key_resp_2.keys,key_resp_2.rt,tute_resp.keys,tute_resp.rt,tutorial.thisRepN,tutorial.thisTrialN,tutorial.thisN,tutorial.thisIndex,tutorial.ran,key_resp_4.keys,key_resp_4.rt,key_resp.keys,key_resp.corr,lines_presented,is_signal_presented,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,vessel,active_band,lines,is_signal,supported_pos,catch_trial,key_resp.rt,debrief_formindex,debrief_formitemText,debrief_formtype,debrief_formitemWidth,debrief_formresponse,debrief_formrt,phases.thisRepN,phases.thisTrialN,phases.thisN,phases.thisIndex,phases.ran,phases.order,phase,key_resp_3.keys,trustitemText,trusttype,trustitemWidth,trustindex,trustresponse,trustrt,support_status.thisRepN,support_status.thisTrialN,support_status.thisN,support_status.thisIndex,support_status.ran,support_status.order,key_resp_5.keys,globalClockTime,userAgent
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.083"",""0.322"",""0.641"",""0.688""]","[1,1,0,1]",0,13,13,13,1,1,1,,,1,FALSE,3.5815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.285"",""0.369"",""0.641"",""0.932""]","[1,1,0,1]",0,14,14,14,1,0,0,,,1,FALSE,2.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.083"",""0.613"",""0.468"",""0.688""]","[1,0,1,1]",0,15,15,15,1,1,1,,,1,FALSE,3.6539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.206"",""0.120"",""0.736"",""0.898""]","[1,0,1,1]",0,16,16,16,1,0,1,,,1,FALSE,2.1697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.206"",""0.404"",""0.612"",""0.898""]","[1,1,0,1]",0,17,17,17,1,0,1,,,1,FALSE,5.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.032"",""0.119"",""0.578"",""0.783""]","[1,0,1,1]",0,18,18,18,1,1,0,,,1,FALSE,2.5687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.285"",""0.612"",""0.847"",""0.932""]","[1,0,1,1]",0,19,19,19,1,0,0,,,1,FALSE,2.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,l,1,"[""0.083"",""0.322"",""0.468"",""0.512""]","[1,1,1,0]",0,20,20,20,1,1,1,,,1,FALSE,2.5652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,l,0,"[""0.612"",""0.404"",""0.736"",""0.898""]","[0,1,1,1]",0,21,21,21,1,0,1,,,1,FALSE,2.8252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6150ea24533ea8f02c003739,001,2022-04-28_19h13.46.525,classification_task,2021.2.3,Win32,59.97001499,6150ea24533ea8f02c003739,626b377229c10585ec392f8a,626b3ba2079acc1f35ff39c0,,,,,,,,,,,,,,,,,,,,,,,a,1,"[""0.206"",""0.404"",""0.736"",""0.537""]","[1,1,1,0]",0,22,22,22,1,0,1,,,1,FALSE,4.1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
